name,processor,operating_sys,RAM_GB,RAM_Type,Storage_GB,Storage_Type,Display_cm,Display_inch,Warranty_Years,Price
APPLE 2021 Macbook Pro M1 Pro - (16 GB/1 TB SSD/Mac OS Monterey) MKGQ3HN/A,Apple M1 Pro Processor,Mac OS Operating System,16,Unified Memory,1024,SSD,36.07,14.2,,239900
ASUS ROG Flow X16 (2022) with 90Whr Battery Ryzen 9 Octa Core 6900HS - (32 GB/1 TB SSD/Windows 11 Home...,AMD Ryzen 9 Octa Core Processor,64 bit Windows 11 Operating System,32,DDR5,1024,SSD,40.64,16,1,236990
ASUS ROG Flow X13 with RTX 3080 eGPU Ryzen 9 Octa Core 5980HS - (32 GB/1 TB SSD/Windows 10 Home/4 GB G...,AMD Ryzen 9 Octa Core Processor,64 bit Windows 10 Operating System,32,LPDDR4X,1024,SSD,34.04,13.4,,234990
ASUS ROG Zephyrus S15 Core i7 10th Gen - (32 GB/1 TB SSD/Windows 10 Home/8 GB Graphics/NVIDIA GeForce ...,Intel Core i7 Processor (10th Gen),64 bit Windows 10 Operating System,32,DDR4,1024,SSD,39.62,15.6,1,234990
acer Predator Triton 500 SE Core i7 12th Gen - (32 GB/2 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA Ge...,Intel Core i7 Processor (12th Gen),64 bit Windows 11 Operating System,32,LPDDR5,2048,SSD,40.64,16,,229990
ASUS ROG Zephyrus Duo 16 (2022) Dual Screen Laptop with 90Whr Battery Ryzen 7 Octa Core 6800H - (32 GB...,AMD Ryzen 7 Octa Core Processor,64 bit Windows 11 Operating System,32,DDR5,2048,SSD,40.64,16,1,224990
ASUS ROG Zephyrus Duo 16 (2022) Dual Screen Laptop with 90Whr Battery Ryzen 7 Octa Core 6800H - (32 GB...,AMD Ryzen 7 Octa Core Processor,64 bit Windows 11 Operating System,32,DDR5,2048,SSD,40.64,16,1,224990
ASUS ProArt Studiobook 16 OLED (2022) with ASUS Dial Core i9 12th Gen - (16 GB/1 TB SSD/Windows 11 Hom...,Intel Core i9 Processor (12th Gen),64 bit Windows 11 Operating System,16,DDR5,1024,SSD,40.64,16,1,219990
APPLE 2021 Macbook Pro M1 Pro - (16 GB/1 TB SSD/Mac OS Monterey) MKGT3HN/A,Apple M1 Pro Processor,Mac OS Operating System,16,Unified Memory,1024,SSD,36.07,14.2,,219894
MSI Creator 15 Core i7 10th Gen - (32 GB/1 TB SSD/Windows 10 Home/8 GB Graphics/NVIDIA GeForce RTX 207...,Intel Core i7 Processor (10th Gen),64 bit Windows 10 Operating System,32,DDR4,1024,SSD,39.62,15.6,,214990
ASUS ROG Zephyrus G15 (2022) Ryzen 9 Octa Core 6900HS - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/...,AMD Ryzen 9 Octa Core Processor,Windows 11 Operating System,16,DDR5,1024,SSD,39.62,15.6,1,211990
ASUS ROG Zephyrus G15 (2022) with 90Whr Battery Ryzen 9 Octa Core 6900HS - (16 GB/1 TB SSD/Windows 11 ...,AMD Ryzen 9 Octa Core Processor,64 bit Windows 11 Operating System,16,DDR5,1024,SSD,39.62,15.6,1,211990
ASUS ROG Flow X16 (2022) with 90Whr Battery Ryzen 9 Octa Core 6900HS - (16 GB/1 TB SSD/Windows 11 Home...,AMD Ryzen 9 Octa Core Processor,Windows 11 Operating System,16,DDR5,1024,SSD,40.64,16,,211990
ASUS ROG Strix G17 with 90Whr Battery Ryzen 9 Octa Core 6900HX - (16 GB/1 TB SSD/Windows 11 Home/8 GB ...,AMD Ryzen 9 Octa Core Processor,64 bit Windows 11 Operating System,16,DDR5,1024,SSD,43.94,17.3,1,210990
ASUS Core i7 12th Gen - (32 GB/1 TB SSD/Windows 11 Home/6 GB Graphics) UX582ZM-H701WS Thin and Light L...,Intel Core i7 Processor (12th Gen),Windows 11 Operating System,32,DDR4,1024,SSD,39.62,15.6,1,209000
HP 15s Intel Core i9 11th Gen - (32 GB/1 TB SSD/Windows 11 Pro/6 GB Graphics) 15-ep1087TX Laptop,Intel Core i9 Processor (11th Gen),64 bit Windows 11 Operating System,32,DDR4,1024,SSD,39.62,15.6,,206500
ALIENWARE Core i7 10th Gen - (16 GB/1 TB SSD/Windows 10 Home/6 GB Graphics/NVIDIA GeForce RTX 2060/300...,NVIDIA GeForce RTX 2060,Alienware Cryo-tech thermal technology to keep the system cool and running at highest performance,,,,,,,,202490
ASUS Core i9 12th Gen - (32 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 6GB RTX 3060)...,Intel Core i9 Processor (12th Gen),Windows 11 Operating System,32,DDR5,1024,SSD,40.64,16,1,201000
ASUS ProArt Studiobook 16 OLED (2022) with ASUS Dial Core i7 12th Gen - (16 GB/1 TB SSD/Windows 11 Hom...,Intel Core i7 Processor (12th Gen),64 bit Windows 11 Operating System,16,DDR5,1024,SSD,40.64,16,1,199990
APPLE 2023 MacBook Pro M2 Pro - (16 GB/512 GB SSD/macOS Ventura) MPHH3HN/A,Apple M2 Pro Processor,Mac OS Operating System,16,Unified Memory,512,SSD,35.56,14,1,199900
HP Core i7 12th Gen - (32 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce RTX 3070 Ti) 17-ck1...,Intel Core i7 Processor (12th Gen),64 bit Windows 11 Operating System,32,DDR5,1024,SSD,43.94,17.3,1,198990
ASUS ZenBook Pro 15 Core i9 8th Gen - (16 GB/1 TB SSD/Windows 10 Home/4 GB Graphics) UX580GE-E2032T La...,First Ever Screenpad,Intel Core i9 Processor (8th Gen),,,16,,,,,197990
MSI GS66 Core i7 11th Gen - (16 GB/1 TB SSD/Windows 10 Home/8 GB Graphics/NVIDIA GeForce RTX 3070/165 ...,Pre-installed Genuine Windows 10 Home OS,16 GB DDR4 RAM,,,,,,,,195490
HP Core i7 12th Gen - (32 GB/1 TB HDD/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce RTX 3070 T...,Intel Core i7 Processor (12th Gen),Windows 11 Operating System,32,DDR5,1024,SSD,43.18,17,1,195000
GIGABYTE AERO 5 XE4 Core i7 12th Gen - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce RT...,Intel Core i7 Processor (12th Gen),64 bit Windows 11 Operating System,16,DDR4,1024,SSD,39.62,15.6,2,193990
Lenovo Legion 5 Pro Intel Core i7 11th Gen - (32 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeFo...,Intel Core i7 Processor (11th Gen),Windows 11 Operating System,32,DDR4,1024,SSD,40.64,16,3,192990
MSI Creator Z16 Core i9 11th Gen - (16 GB/1 TB SSD/Windows 10 Home/6 GB Graphics/NVIDIA GeForce RTX 30...,Intel Core i9 Processor (11th Gen),64 bit Windows 10 Operating System,16,DDR4,1024,SSD,40.64,16,2,192990
ASUS ROG Zephyrus G14 (2022) Ryzen 9 Octa Core 6900HS - (32 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/...,AMD Ryzen 9 Octa Core Processor,64 bit Windows 11 Operating System,32,DDR5,1024,SSD,35.56,14,1,191990
ASUS ROG Zephyrus G14 (2022) Ryzen 9 Octa Core AMD R9-6900HS - (32 GB/1 TB SSD/Windows 11 Home/8 GB Gr...,AMD Ryzen 9 Octa Core Processor,64 bit Windows 11 Operating System,32,DDR5,1024,SSD,35.56,14,1,191990
ASUS ROG Flow Z13 (2022) Core i9 12th Gen - (16 GB/1 TB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeFor...,Intel Core i9 Processor (12th Gen),64 bit Windows 11 Operating System,16,LPDDR5,1024,SSD,34.04,13.4,1,191990
ASUS Ryzen 9 Octa Core 10th Gen - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce RTX 8GB...,AMD Ryzen 9 Octa Core Processor (10th Gen),Windows 11 Operating System,16,DDR4,1024,SSD,39.62,15.6,1,191900
ASUS ROG Zephyrus G15 Ryzen 9 Octa Core AMD R9-6900HS - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/...,AMD Ryzen 9 Octa Core Processor,64 bit Windows 11 Operating System,16,DDR5,1024,SSD,39.62,15.6,1,189990
Lenovo Legion 5 Pro Ryzen 7 Octa Core 6800H - (32 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeF...,AMD Ryzen 7 Octa Core Processor,64 bit Windows 11 Operating System,32,DDR5,1024,SSD,40.64,16,3,189990
